,location_name,google_name,Location,Average User Rating,Total User Rating
1468,Caboose Commons,Caboose Commons,"{'lat': 38.8728611, 'lng': -77.2320472}",4.4,315
1469,Cactus Land Brewing Company,Cactus Land Brewing Company,"{'lat': 29.2899424, 'lng': -98.2543196}",4.9,72
1470,Cadillac Straits Brewing Company,Cadillac Straits Brewing Company,"{'lat': 42.4953198, 'lng': -83.1062528}",4.7,69
1471,Cage Brewing,Cage Brewing,"{'lat': 27.770463, 'lng': -82.66045439999999}",4.7,309
1472,Cahaba Brewing Company,N/A,N/A,N/A,N/A
1473,Cairn Brewing,Cairn Brewing,"{'lat': 47.7571463, 'lng': -122.2440558}",4.8,234
1474,Cajunboyz Brewery LLC,N/A,N/A,N/A,N/A
1475,Calapooia Brewing Co Siletz Ales,N/A,N/A,N/A,N/A
1476,Caldera Brewing Company,Caldera Brewery & Restaurant,"{'lat': 42.1819444, 'lng': -122.6627778}",4.4,377
1477,Caledonia Brewing,Caledonia Brewing,"{'lat': 28.0134827, 'lng': -82.7843587}",4.7,198
1478,Calexico Brewing Company,Calexico Brewing Company,"{'lat': 32.6909294, 'lng': -115.492424}",4.7,62
1479,Calfkiller Brewing Co,N/A,N/A,N/A,N/A
1480,Calibration Brewery,Calibration Brewery,"{'lat': 39.1415231, 'lng': -94.578687}",4,264
1481,Calicraft Brewing Co,N/A,N/A,N/A,N/A
1482,California Coast Beer Co,California Coast Beer Company,"{'lat': 35.6287557, 'lng': -120.6881744}",4.7,60
1483,California Wild Ales,N/A,N/A,N/A,N/A
1484,Call To Arms Brewing Company,Call to Arms Brewing Company,"{'lat': 39.7789062, 'lng': -105.0435791}",4.7,253
1485,Callahan West Brewery,Callahan West Brewery,"{'lat': 35.7768199, 'lng': -103.9586633}",5,8
1486,Callao Brewing Company,N/A,N/A,N/A,N/A
1487,Callsign Brewing,Callsign Brewing,"{'lat': 39.13583, 'lng': -94.5735626}",4.8,113
1488,Calusa Brewing Company,Calusa Brewing,"{'lat': 27.2708823, 'lng': -82.4837367}",4.8,425
1489,Calvert Brewing Co,Calvert Brewing Company,"{'lat': 38.8857841, 'lng': -76.73085019999999}",4.7,139
1490,Camber Brewing Company,Camber Brewing Company,"{'lat': 39.947235, 'lng': -105.8161227}",4.8,40
1491,Cambridge Brewing Co,Cambridge Brewing Company,"{'lat': 42.3663622, 'lng': -71.09116759999999}",4.3,1235
1492,Cambridge House Brew Pub Granby,Cambridge House Brew Pub,"{'lat': 41.966053, 'lng': -72.7926483}",4.3,141
1493,Camelback Brewing Company,Camelback Brewing Company,"{'lat': 35.4889653, 'lng': -79.19331679999999}",4.6,72
1494,Camino Brewing Co LLC,Camino Brewing Company Beers To Go and Direct Delivery,"{'lat': 37.3253958, 'lng': -121.8823366}",4.7,185
1495,Camp Colvos Brewing,Camp Colvos Brewing,"{'lat': 47.4464189, 'lng': -122.4601624}",4.8,71
1496,Campbell Brewing Co,Campbell Brewing Company,"{'lat': 37.2869445, 'lng': -121.9462166}",3.7,141
1497,Canadian River Brewing Co,Canadian River Brewing Co,"{'lat': 35.0509681, 'lng': -97.93360129999999}",4.7,25
1498,Canadian River Brewing Co Taproom,Canadian River Brewing Co,"{'lat': 35.0509681, 'lng': -97.93360129999999}",4.7,25
1499,Canal Park Brewery,Canal Park Brewing Company,"{'lat': 46.7847905, 'lng': -92.09399599999999}",4.4,3164
1500,Cane River Brewing Co L L C,Cane River Brewing Company,"{'lat': 31.7485637, 'lng': -93.0873336}",4.7,32
1501,Canned Heat Craft Beer Company,Canned Heat Craft Beer Company,"{'lat': 41.7012626, 'lng': -71.1687165}",4.8,78
1502,Cannon Brewpub,N/A,N/A,N/A,N/A
1503,Cannonball Creek Brewing Co,Cannonball Creek Brewing Company,"{'lat': 39.76863609999999, 'lng': -105.2351083}",4.6,291
1504,Canon & Draw Brewing Company,N/A,N/A,N/A,N/A
1505,Canteen Brewhouse,Canteen Brewhouse,"{'lat': 35.120497, 'lng': -106.617849}",4.5,333
1506,Canterbury Aleworks,Canterbury Aleworks,"{'lat': 43.3848767, 'lng': -71.5107888}",4.8,68
1507,Cantero Brewing Company,Cantero Brewing Company,"{'lat': 35.119252, 'lng': -106.622322}",4.6,206
1508,Canton Brew Works LLC,Canton Brew Works,"{'lat': 42.3489544, 'lng': -83.4612357}",4.5,432
1509,Canton Brewing Company,Canton Brewing Company,"{'lat': 40.7998871, 'lng': -81.3749806}",4.1,314
1510,Canyon Club Brewery,Canyon Club Brewery,"{'lat': 37.8335094, 'lng': -122.128516}",4.4,71
1511,Canyon Creek Brewing,Canyon Creek Brewing,"{'lat': 45.7439499, 'lng': -108.5931397}",4.5,197
1512,Canyon Ferry Brewing,Canyon Ferry Brewing,"{'lat': 46.3200574, 'lng': -111.5184873}",4.9,25
1513,Canyon Lakes Brewing Company,Canyon Lakes Brewing Company,"{'lat': 40.6842878, 'lng': -99.8275206}",4.5,147
1514,Canyon Lakes Golf Course & Brewery,N/A,N/A,N/A,N/A
1515,Cap N Cork Brewing,Cap N Cork Brewing Co.,"{'lat': 42.6405079, 'lng': -82.9549167}",4,1
1516,Cape Ann Brewing Co,Cape Ann Brewing Co,"{'lat': 42.6112157, 'lng': -70.6650856}",4.2,295
1517,Cape Charles Brewing Company,Cape Charles Brewing Company,"{'lat': 37.2688484, 'lng': -76.0012283}",4.6,262
1518,Cape Cod Beer,Cape Cod Beer,"{'lat': 41.6781432, 'lng': -70.310088}",4.6,292
1519,Cape May Brewery,N/A,N/A,N/A,N/A
1520,Cape May Brewery Production Facility,N/A,N/A,N/A,N/A
1521,Cape Vincent Brewing Co,Cape Vincent Brewing Company,"{'lat': 44.1281458, 'lng': -76.3342057}",4.5,40
1522,Capital Brewery Co Inc,Capital Brewery,"{'lat': 43.094876, 'lng': -89.51625}",4.4,170
1523,Capitol Creek Brewery,Capitol Creek Brewery,"{'lat': 39.3856715, 'lng': -107.082336}",4.2,193
1524,Capstan Bar Brewing Company,Capstan Bar Brewing Company,"{'lat': 37.08408319999999, 'lng': -76.4028987}",4.8,118
1525,Captain Fatty's,N/A,N/A,N/A,N/A
