type,location_name,region,latitude,longitude
Brewpub,Barley Brothers Brewery,AZ,34.471029,-114.349027
Brewpub,Barley Creek Brewing Co,PA,41.052325,-75.328754
Brewpub,Barley Island Brewing Company,IN,40.045354,-86.015499
Brewpub,Barley Johns Brewpub,MN,45.036162,-93.198169
Brewpub,Barley's Brewing Company Ale House No 1,OH,39.971925,-83.002888
Brewpub,Barley's Casino and Brewing Co,NV,36.071938,-115.074824
Brewpub,Barn Brewers,MI,42.168151,-85.849446
Brewpub,Barn Brewery,CA,32.755606,-117.13239
Brewpub,Barn Town Brewing Co,IA,41.599779,-93.838
Brewpub,Barrel Head Brewhouse,CA,37.775709,-122.446095
Brewpub,Barrel Mountain Brewing,WA,45.780782,-122.530992
Brewpub,Barrels & Bottles Brewery,CO,39.756513,-105.219941
Brewpub,Barrier Island Brewing,GA,31.140752,-81.380729
Brewpub,Barrier Island Brewing,GA,31.140693,-81.380834
Brewpub,Barrington Brewery and Restaurant,MA,42.213432,-73.343718
Brewpub,Barrow Brewing Company,TX,30.942864,-97.536032
Brewpub,Barsideous Brewing,OR,44.53955,-122.907481
Brewpub,Bartlett Hall,CA,37.786624,-122.408772
Brewpub,Basket Case Brewing Co,IN,38.398293,-86.928422
Brewpub,Bastion Brewing Company,WA,48.461797,-122.5706
Brewpub,Batch Brewing Co,MI,42.328561,-83.063378
Micro,Batch Brewing Co,MI,42.328561,-83.063378
Brewpub,Batch Craft Beer and Kolaches,TX,30.287198,-97.703135
Brewpub,Bath Brewing Company,ME,43.914114,-69.814009
Brewpub,Batson River Brewing and Distilling,ME,43.359917,-70.479683
Brewpub,Battle Hill Brewing Company,NY,43.416716,-73.487404
Brewpub,Battle Street Brewery,NY,42.561542,-77.699025
Brewpub,Battlefield Brew Works,PA,39.845879,-77.21047
Brewpub,Bavarian Bierhaus,WI,43.115807,-87.92026
Brewpub,Bavarian Brothers Brewing,WV,39.436675,-77.804745
Brewpub,Bay Cannon Beer Company LLC,FL,27.956953,-82.481168
Brewpub,Be Here Brewing Company,PA,39.825234,-75.783883
Brewpub,Beach Chalet Brewing Co,CA,37.769459,-122.510073
Brewpub,BeachFly Brewing Company,FL,28.13897,-80.581867
Brewpub,Beachwood BBQ & Brewing,CA,33.769921,-118.190926
Brewpub,Beacon Brewing Company,GA,33.025871,-85.048138
,Beale's,VA,37.335761,-79.51856
Brewpub,Bear Chase Brewing Company,VA,39.111635,-77.845295
Brewpub,Bear Creek Wine Company And Brewery,MO,36.802954,-93.247451
Brewpub,Bear King Brewing,TX,30.570431,-98.275031
Brewpub,Bear Republic Brewing Co Pub & Restaurant Lakeside,CA,38.364886,-122.710099
Brewpub,Bearded Owl Brewing,IL,40.685814,-89.594783
Brewpub,Beards Brewery,MI,45.375198,-84.957871
,Beardslee Public House,WA,47.766364,-122.191508
Brewpub,Beat Culture Brewery,FL,25.780717,-80.313143
,Beaver Brewing Co,PA,40.759115,-80.319014
Brewpub,Beaver Street Brewery,AZ,35.196568,-111.65112
Brewpub,Becker Brewing Co & Vizcarra Vineyards,NY,43.22484,-78.558876
Brewpub,Bee's Knees Brewing Company,MO,38.430764,-92.842574
Brewpub,Beech Mountain Brewing Company,NC,36.194652,-81.878084
Brewpub,Beer Church Brewing Company,MI,41.793283,-86.74349
Brewpub,Beer Creek Brewing Co,NM,35.491428,-106.065495
Brewpub,Beer Lab HI,HI,21.42322,-158.00574
Brewpub,Beer Research Institute The,AZ,33.384539,-111.80277
Brewpub,Beerburg Brewing Company,TX,30.235121,-98.004363
Brewpub,Belching Beaver Brewery Tavern & Grill,CA,33.20213,-117.241012
Brewpub,Bell's Eccentric Cafe,MI,42.294939,-85.578687
Brewpub,Belle Isle Restaurant and Brewing Co,OK,35.522238,-97.545911
Brewpub,Bellevue Brewing Co,WA,47.626502,-122.16608
Brewpub,Belmont Brewing Co,CA,33.75941,-118.14847
Brewpub,Below the Radar Brewing Co,AL,34.732793,-86.585433
Brewpub,Belt Line Brewery & Kitchen,NY,42.877958,-78.855478
Brewpub,Ben's Brewing Co,SD,42.870011,-97.395022
Brewpub,Bend Brewing Co,OR,44.06045,-121.31385
Brewpub,Bennidito's Brewpub,WA,47.657411,-117.382263
Brewpub,Bent River Brewing Co,IA,40.810701,-91.105134
Brewpub,Bent River Brewing Co,IL,41.506142,-90.517139
Brewpub,Berkeley Springs Brewing Co,WV,39.576756,-78.271184
Brewpub,Berthoud Brewing Co 5030 Local,CO,40.407735,-105.129824
Brewpub,Berwick Brewing Co,PA,41.051909,-76.238002
Brewpub,Best End Brewing Company,GA,33.731614,-84.421687
Brewpub,Better Half Brewing,CT,41.672287,-72.945918
Brewpub,Bewilder Brewing Co,UT,40.759386,-111.901714
Brewpub,Bias Brewing,MT,48.194771,-114.310386
Brewpub,Bickering Brother's Brewery,IA,41.824925,-90.539804
,Bier Brewery,IN,39.987299,-86.138304
Brewpub,Bier One Brewing,OR,44.633075,-124.057251
Brewpub,BierWerks,CO,38.994138,-105.051948
Brewpub,Biercamp,MI,42.258515,-83.73999
Brewpub,Bierly Brewing,OR,45.215468,-123.197532
Brewpub,Bierstadt Lagerhaus,CO,39.762859,-104.984125
Brewpub,Big Ash Brewing Company,OH,39.106753,-84.395985
Brewpub,Big Beach Brewing Company,AL,30.278299,-87.682763
Brewpub,Big Bear Brewing Co,FL,26.253524,-80.253617
Brewpub,Big Bear Lake Brewing Co,CA,34.242549,-116.911007
Brewpub,Big Bear Mountain Brewery,CA,34.239076,-116.923724
Brewpub,Big Boiler Brewing,MI,42.93437,-85.336155
Brewpub,Big Bottom Brewery,PA,40.133758,-77.019091
Brewpub,Big Dog's Brewing Co,NV,36.242268,-115.235743
Brewpub,Big Grove Brewpub,IA,41.806984,-91.495523
Brewpub,Big Hammock Brewery,FL,29.185391,-82.135901
Brewpub,Big Hart Brewing Company,MI,43.689663,-86.380126
Brewpub,Big House Brew Pub,WA,46.069382,-118.334789
Brewpub,Big Island Brewhaus,HI,20.024964,-155.661565
Brewpub,Big Lug Canteen,IN,39.911698,-86.136137
Brewpub,Big River Brewery LLC,TX,26.233583,-98.183704
Brewpub,Big River Grille & Brewing Works Chattanooga,TN,35.054061,-85.310185
Brewpub,Big River Grille & Brewing Works Disney,FL,28.366957,-81.557362
Brewpub,Big Slide Brewery,NY,44.266082,-73.969996
Brewpub,Big Stump Brewing Company,CA,38.57506,-121.484317
Brewpub,Big Swing Brew Pub,IL,41.511695,-90.574382
Brewpub,Big T Brew Pub,MI,42.168365,-85.850128
Brewpub,Big Texan Brewery,TX,35.193812,-101.755036
Brewpub,Big Time Brewery,WA,47.657857,-122.313557
,Big Top Brewing Company Gainesville,FL,29.6501,-82.323335
Brewpub,Big Top Brewing Company Pensacola,FL,30.410939,-87.216146
Brewpub,Big Tupper Brewing,NY,44.223314,-74.466158
Brewpub,Big Woods Brewery,IN,39.208062,-86.247649
Brewpub,Big's BBQ Brewpub,IA,41.923315,-91.41725
Brewpub,Bigelow Brewing Company,ME,44.720849,-69.731689
Brewpub,Bilbo's Pizza and Brewery,MI,42.271171,-85.630012
Brewpub,Bill's Brewing Company,NC,34.241864,-77.892158
Brewpub,Bill's Tavern and Brewhouse,OR,45.898029,-123.961093
Brewpub,Bingo Beer Company,VA,37.563775,-77.471673
Brewpub,Birch's Lowertown Tap Room & Barrel House,MN,44.950301,-93.085691
Brewpub,Birch's On the Lake,MN,44.985335,-93.556189
Brewpub,BirdsView Brewing Co,WA,48.528197,-121.912979
Brewpub,Birravino,NJ,40.353349,-74.0749
Brewpub,Bistronomy B2B Craft Brewery,NM,35.080315,-106.610218
Brewpub,Bitter Creek Brewing Co,WY,41.586713,-109.217897
Brewpub,Bixi Beer,IL,41.9272,-87.703925
Brewpub,Black & Blue Brewery,MI,42.975629,-82.422311
Brewpub,Black Acre Brewing Co,IN,39.770969,-86.070931
Brewpub,Black Bottle Brewery,CO,40.566346,-105.078711
Brewpub,Black Flannel Brewing Company,VT,44.506343,-73.082578
Brewpub,Black Fleet Brewing,WA,47.240789,-122.440553
Brewpub,Black Forest Brew Haus,NY,40.755056,-73.414409
Brewpub,Black Forest Brewery,PA,40.181562,-76.181316
Brewpub,Black Forest Brewing Company,CO,39.000014,-104.700817
Brewpub,Black Gold Brewing Co,CA,35.141328,-119.459317
Brewpub,Black Hog Brewing Co The Stack,CT,41.314841,-72.905645
Brewpub,Black Label Brewing Company,WA,47.658746,-117.411999
Brewpub,Black Market Brewing Co,CA,33.518226,-117.169774
Brewpub,Black Shirt Brewing Co,CO,39.769821,-104.97294
Brewpub,Black Sky Brewery,CO,39.723944,-104.99829
Brewpub,Black Stag Brewery,KS,38.972241,-95.236337
Brewpub,Black Star Co op,TX,30.338194,-97.718928
Brewpub,Black Walnut Brewery,VA,39.112879,-77.565492
Brewpub,Blackbeard's Brewing Company,WA,46.887067,-124.111883
Brewpub,Blackhorse Pub and Brewery,TN,36.527398,-87.358848
Brewpub,Blackhorse Pub and Brewery Knoxville,TN,35.771835,-83.978306
Brewpub,Blake's Brewing Co,MI,42.849812,-82.951463
Brewpub,Blast 825 Brewery,CA,34.863786,-120.447825
Brewpub,Blauer Wolf Brewery,GA,34.698045,-83.716355
Brewpub,Blind Owl Brewery,IN,39.870063,-86.084678
Brewpub,Blind Tiger Brewery & Restaurant,KS,39.000245,-95.684687
Brewpub,Block 15 Brewery & Tap Room,OR,44.530363,-123.269017
Brewpub,Block 15,OR,44.5623,-123.262329
,Block Brewing Company,MI,42.594437,-83.93403
Brewpub,Block North LLC,MN,46.534593,-93.706296
Brewpub,Blondes and Brewnettes Twelves Grill and Cafe,PA,39.822714,-75.826588
Brewpub,Blowing Rock Brewing Company,NC,36.132734,-81.677232
Brewpub,Blowing Rock Draft House and Brewery,NC,35.735436,-81.325573
Brewpub,Blue Collar Brewery Inc,NY,41.707364,-73.918241
Brewpub,Blue Corn Cafe,NM,35.638659,-106.015467
Brewpub,Blue Ghost Brewing Company,NC,35.436794,-82.530544
Brewpub,Blue Heron Brew Pub,WI,44.659535,-90.179383
Brewpub,Blue Heron Brewing Co LLC,NM,36.215916,-105.883211
Brewpub,Blue Line Brewery,NY,44.313235,-74.116272
Brewpub,Blue Mountain Pizza and Brew Pub,NC,35.698312,-82.560266
Brewpub,Blue Note Napa,CA,38.29962,-122.285485
Brewpub,Blue Skies Brewery,MI,42.058141,-84.126686
Brewpub,Blue Skye Brewery,KS,38.841329,-97.608723
Brewpub,Blue Springs Brewing,FL,28.936411,-81.298194
Brewpub,Blue Spruce Brewing,CO,39.566836,-104.939625
,Blue Spruce Brewing Littleton,CO,39.567938,-105.117932
Brewpub,Blue Star Brewing Co,TX,29.410055,-98.495495
Brewpub,Blue Tractor Brewing Co,MI,42.28064,-83.746922
,Bluebird Brasserie,CA,34.147928,-118.432091
Brewpub,Bluegrass Brewing Co Brewpub,KY,38.256207,-85.755104
Brewpub,Bluejacket,DC,38.875186,-77.000721
Brewpub,Bluestone Brewing Company,PA,41.991677,-76.545505
Brewpub,Board Room Brewing Company,VA,38.883661,-77.09308
Brewpub,Boathouse Brewery LLC,MN,47.903478,-91.865654
Brewpub,Bobcat Brewery & Cafe,VT,44.132875,-73.078223
Brewpub,Bobtown Brewhouse & Grill,WI,44.983479,-92.556126
Brewpub,Bold Republic Brewing Company,TX,31.057438,-97.461627
Brewpub,Bolt Brewery,CA,32.771924,-117.020581
Brewpub,Bolton Beer Works,MA,42.430279,-71.61696
Brewpub,Bombing Range Brewing Company,WA,46.318444,-119.300581
Brewpub,Bombs Away Beer Company,NM,35.070868,-106.539172
Brewpub,Bonaventure Brewing Co,CA,34.05253,-118.256155
Brewpub,Bonneville Brewing Company,UT,40.560755,-112.297525
Brewpub,Bonsai Brewing Project,MT,48.421474,-114.340685
Brewpub,Bonsai Brewing Project,MT,48.394876,-114.334342
Brewpub,Bookhouse Brewing LLC,OH,41.489598,-81.707901
Brewpub,Books & Brews,IN,39.924314,-86.036503
Brewpub,Boom City Brewing,PA,41.240759,-77.003048
Brewpub,BoomTown Brewery and Woodfire Grill,MN,47.427754,-92.935559
Brewpub,Boondocks Brewing,NC,36.399586,-81.491555
Brewpub,Booneshine Brewing Company,NC,36.223626,-81.643613
Brewpub,Boot N Flute Brewery Guild Wurst Tavern,IA,41.667411,-91.560761
Brewpub,Bootleg Brewers Sandhills Brewing Company,NE,41.866299,-99.425091
Brewpub,Bootleggers Restaurant and Brewery,MO,36.975148,-93.721156
Brewpub,Booze Brothers Brewing Co,CA,33.148209,-117.218046
Brewpub,Border Brewery Border Brew Supply,NH,42.789607,-71.233223
Brewpub,Border X Brewing,CA,32.698106,-117.139799
Brewpub,Border X Brewing,CA,32.698104,-117.139804
Brewpub,Boss Dog Brewing,OH,41.500364,-81.565234
Brewpub,Bottlenose Brewing,FL,30.264621,-81.555953
Brewpub,Bottom Shelf Brewery,CO,37.225022,-107.599093
Brewpub,Bottomless Brewing LLC,NY,42.854734,-76.933223
,Boulder Dam Brewing Company,NV,35.978424,-114.836703
Brewpub,Boundary Bay Brewery & Bistro,WA,48.747609,-122.480968
Brewpub,Box Office Brewery,VA,38.989024,-78.360461
Brewpub,Boxing Bear Brewing Company,NM,35.202855,-106.645212
Brewpub,Braeloch Brewing,PA,39.84246,-75.706863
Brewpub,Braindead Brewing,TX,32.78381,-96.785395
Brewpub,Braselton Brewing Company,GA,34.109309,-83.761087
Brewpub,Brass Ring Brewing Company,MI,42.96597,-85.670463
Brewpub,Brasserie Saint James,NV,39.516518,-119.807422
Brewpub,Brasserie Saison,VA,38.030902,-78.48109
Brewpub,Brato Brewhouse & Kitchen,MA,42.355645,-71.147947
Brewpub,Bray's Smokehouse,TX,27.50277,-97.855461
,Breaker Brewing Company,PA,41.225317,-75.868783
Brewpub,Breakside Brewery,OR,45.571596,-122.656841
Brewpub,Breakside Brewery NW Slabtown,OR,45.533905,-122.696478
Brewpub,Breakwater Brewing Co,CA,33.195142,-117.379139
Brewpub,Brew Angels LLC,FL,30.621984,-87.038103
Brewpub,Brew Hub Taproom,MO,38.630139,-90.281397
Brewpub,Brew Lab,KS,38.985224,-94.669595
Brewpub,Brew Republic Bierwerks,VA,38.62738,-77.286862
Brewpub,BrewDog Pittsburgh Outpost,PA,40.460328,-79.923074
Brewpub,Brewbakers Brewing Co,CA,36.329905,-119.290655
Brewpub,Brewer's Alley Restaurant and Brewery,MD,39.416067,-77.410455
Brewpub,Brewerie at Union Station The,PA,42.12085,-80.082151
,Brewers At 4001 Yancey,NC,35.186296,-80.87825
Brewpub,Brewery At Lake Tahoe,CA,38.946566,-119.961833
Brewpub,Brewery At Simmzys Burbank,CA,34.156623,-118.333837
Brewpub,Brewery Bhavana,NC,35.777431,-78.636919
